type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_18468761129	18468761129_10156852481366130	https://www.facebook.com/18468761129/posts/10156852481366130/	"Some fun ways to pass the time while trapped at home."	https://external.xx.fbcdn.net/safe_image.php?d=AQC8jYptq3jmrhnb&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F56a13ceb2a00002c000310ac.jpeg%3Fops%3D1910_1000&cfs=1&_nc_hash=AQCPAkza1E078e_c	https://external.xx.fbcdn.net/safe_image.php?d=AQDd4YcaC0oQwQuF&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F56a13ceb2a00002c000310ac.jpeg%3Fops%3D1910_1000&_nc_hash=AQDUmdTnGWp5zyiq	http://huffp.st/sYFpC4q	huffp.st	2019-01-31T08:22:40+0000	1548922960	"2019-01-31 09:22:40"	8	1	11	10	22	3	0	0	0	0	0
link	post_page_18468761129	18468761129_10156852400026130	https://www.facebook.com/18468761129/posts/10156852400026130/	" You suck less than most people.  💘"	https://external.xx.fbcdn.net/safe_image.php?d=AQAziHy-lcxcF9Op&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c50f0de3600005e07680fb6.jpeg%3Fcache%3D7sE3qoCKx8%26ops%3D1910_1000&cfs=1&_nc_hash=AQA6RpnjGvsrNPWy	https://external.xx.fbcdn.net/safe_image.php?d=AQCUZzh8-JxOq3Yu&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c50f0de3600005e07680fb6.jpeg%3Fcache%3D7sE3qoCKx8%26ops%3D1910_1000&_nc_hash=AQBXT6ilwPAm7sX7	http://huffp.st/eZEnTcz	huffp.st	2019-01-31T07:00:35+0000	1548918035	"2019-01-31 08:00:35"	212	28	344	98	470	18	113	0	1	0	0
link	post_page_18468761129	18468761129_10156852339016130	https://www.facebook.com/18468761129/posts/10156852339016130/	"A group of House Democratic lawmakers is urging women from both parties to declare “we will not go back on our hard-earned rights.”"	https://external.xx.fbcdn.net/safe_image.php?d=AQCp1bUigmiWSiUm&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c517c0c260000d001faeff6.jpeg%3Fcache%3Dgf91bgejkt%26ops%3D1910_1000&cfs=1&sx=505&sy=0&sw=1000&sh=1000&_nc_hash=AQDIB9ZKlOkMYhVK	https://external.xx.fbcdn.net/safe_image.php?d=AQBj_hObHDHjoept&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c517c0c260000d001faeff6.jpeg%3Fcache%3Dgf91bgejkt%26ops%3D1910_1000&_nc_hash=AQCRTpKdqbGsMR6u	http://huffp.st/uPqSmIh	huffp.st	2019-01-31T06:00:16+0000	1548914416	"2019-01-31 07:00:16"	1002	233	1318	239	1790	266	39	7	0	4	0
link	post_page_18468761129	18468761129_10156852271011130	https://www.facebook.com/18468761129/posts/10156852271011130/	"Changes in weather come with a lot of changes in your physical and mental health."	https://external.xx.fbcdn.net/safe_image.php?d=AQD_hxsuabDUn87g&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51ca5a23000076011fa356.jpeg%3Fops%3D1910_1000&cfs=1&_nc_hash=AQAsAaS3lIwrrt_R	https://external.xx.fbcdn.net/safe_image.php?d=AQC-UcGZwqCsLq33&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51ca5a23000076011fa356.jpeg%3Fops%3D1910_1000&_nc_hash=AQAsjX0L1dfftRCJ	http://huffp.st/PGZYJOr	huffp.st	2019-01-31T05:00:11+0000	1548910811	"2019-01-31 06:00:11"	102	26	127	44	197	1	1	13	10	0	0
link	post_page_18468761129	18468761129_10156852231966130	https://www.facebook.com/18468761129/posts/10156852231966130/	"Paul’s neighbor tackled him after a dispute over lawn maintenance."	https://external.xx.fbcdn.net/safe_image.php?d=AQAWJlCLHgd3Eb1Z&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c52543524000009029fa509.jpeg%3Fcache%3Dfavruhm0qv%26ops%3D1910_1000&cfs=1&sx=719&sy=0&sw=1000&sh=1000&_nc_hash=AQBrxElNrGC_AgXW	https://external.xx.fbcdn.net/safe_image.php?d=AQCQDBpbFEFlCxN7&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c52543524000009029fa509.jpeg%3Fcache%3Dfavruhm0qv%26ops%3D1910_1000&_nc_hash=AQCP6dteOLSloBzP	http://huffp.st/1VqUKLB	huffp.st	2019-01-31T04:30:10+0000	1548909010	"2019-01-31 05:30:10"	112	273	472	35	780	8	69	50	16	217	0
link	post_page_18468761129	18468761129_10156852161916130	https://www.facebook.com/18468761129/posts/10156852161916130/	"The L.A. Rams  Quinton Peron and Napoleon Jinnies are about to make history this Sunday as the first male cheerleaders at the Super Bowl."	https://external.xx.fbcdn.net/safe_image.php?d=AQBcvGNT5YlGowl1&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c5226962400000802486d54.jpeg%3Fcache%3Dgd8v2chmot%26ops%3D1910_1000&cfs=1&sx=466&sy=0&sw=1000&sh=1000&_nc_hash=AQAqWotiZODE7i1u	https://external.xx.fbcdn.net/safe_image.php?d=AQDa-lJykfwKH293&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c5226962400000802486d54.jpeg%3Fcache%3Dgd8v2chmot%26ops%3D1910_1000&_nc_hash=AQDt9nXAN_sEEo5Z	http://huffp.st/D8oviML	huffp.st	2019-01-31T04:00:26+0000	1548907226	"2019-01-31 05:00:26"	3161	351	3941	314	4606	701	55	18	0	6	0
link	post_page_18468761129	18468761129_10156852097271130	https://www.facebook.com/18468761129/posts/10156852097271130/	"“I assure you  he had the ‘option’ to come to Bible study. He never ‘opted’ in ” Pastor David Lewicki recalled."	https://external.xx.fbcdn.net/safe_image.php?d=AQAG7DeuWQ7X1YzH&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51f782240000c601486d43.jpeg%3Fcache%3Dbfus1hk9cv%26ops%3D1910_1000&cfs=1&sx=251&sy=0&sw=1000&sh=1000&_nc_hash=AQAYInUmp-WbIfFo	https://external.xx.fbcdn.net/safe_image.php?d=AQAJp0FdxD70H63y&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51f782240000c601486d43.jpeg%3Fcache%3Dbfus1hk9cv%26ops%3D1910_1000&_nc_hash=AQBcDgoieCqyl9Ik	http://huffp.st/4PWXVFE	huffp.st	2019-01-31T03:30:05+0000	1548905405	"2019-01-31 04:30:05"	3857	1841	9638	3393	14872	82	5126	383	73	117	0
link	post_page_18468761129	18468761129_10156852025276130	https://www.facebook.com/18468761129/posts/10156852025276130/	"Yes  Chicago is that cold."	https://external.xx.fbcdn.net/safe_image.php?d=AQBpoKHlnkY6jhb_&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c525c1423000004011fa382.jpeg%3Fcache%3Dwypja7ke34%26ops%3D1910_1000&cfs=1&_nc_hash=AQB6JGhurfS-GY3o	https://external.xx.fbcdn.net/safe_image.php?d=AQBB0v7XZrDl5MMj&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c525c1423000004011fa382.jpeg%3Fcache%3Dwypja7ke34%26ops%3D1910_1000&_nc_hash=AQCea0pIUS0A5Aob	http://huffp.st/oQHKsdq	huffp.st	2019-01-31T02:54:38+0000	1548903278	"2019-01-31 03:54:38"	1003	118	1477	277	1872	26	14	429	5	0	0
link	post_page_18468761129	18468761129_10156851977406130	https://www.facebook.com/18468761129/posts/10156851977406130/	"“The Marvelous Mrs. Maisel” star Rachel Brosnahan is memorializing late aunt Kate Spade through their shared love of fashion seven months after her death."	https://external.xx.fbcdn.net/safe_image.php?d=AQAPqoGEO36Xxs-Y&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51c82d2500003a017dba5e.jpeg%3Fcache%3Dc0t5b5nygk%26ops%3D1910_1000&cfs=1&sx=470&sy=0&sw=1000&sh=1000&_nc_hash=AQA3_0rwAg7ma08p	https://external.xx.fbcdn.net/safe_image.php?d=AQC4ekIa5peiaLKD&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51c82d2500003a017dba5e.jpeg%3Fcache%3Dc0t5b5nygk%26ops%3D1910_1000&_nc_hash=AQA6ind1Xu2YlH6J	http://huffp.st/EvECcGr	huffp.st	2019-01-31T02:30:58+0000	1548901858	"2019-01-31 03:30:58"	1285	30	1586	38	1654	248	4	0	48	1	0
link	post_page_18468761129	18468761129_10156851917336130	https://www.facebook.com/18468761129/posts/10156851917336130/	"The coffee chain’s weekly memo discussed how to defuse the situation should someone share “aggressive political opinions. "	https://external.xx.fbcdn.net/safe_image.php?d=AQAuteBfUb8gWrrD&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51d4952400000d02486d33.jpeg%3Fcache%3D5ctzfvcybr%26ops%3D1910_1000&cfs=1&sx=0&sy=0&sw=1000&sh=1000&_nc_hash=AQAIHNdUrF2-cQuR	https://external.xx.fbcdn.net/safe_image.php?d=AQB_1MdzOA8m_IB5&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51d4952400000d02486d33.jpeg%3Fcache%3D5ctzfvcybr%26ops%3D1910_1000&_nc_hash=AQD6BIQYDJSoryTJ	http://huffp.st/ged9sat	huffp.st	2019-01-31T02:00:22+0000	1548900022	"2019-01-31 03:00:22"	69	232	232	37	501	1	117	27	4	14	0
